code,name,description,refreshed_at,from_date,to_date
BOM503169,RUBY MILLS LTD. EOD Prices,End of Day prices and additional trading information for RUBY MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM503205,SHREE RAM URBAN INFRASTRUCTURE LTD. EOD Prices,End of Day prices and additional trading information for SHREE RAM URBAN INFRASTRUCTURE LTD. EOD Prices.,2019-02-01 13:23:49,2006-01-10,2018-03-21
BOM503229,SIMPLEX REALTY LTD. EOD Prices,End of Day prices and additional trading information for SIMPLEX REALTY LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-07,2019-01-31
BOM503310,SWAN ENERGY LTD. EOD Prices,End of Day prices and additional trading information for SWAN ENERGY LTD. EOD Prices.,2019-02-01 13:23:49,1991-08-08,2019-01-31
BOM503349,VICTORIA MILLS LTD. EOD Prices,End of Day prices and additional trading information for VICTORIA MILLS LTD. EOD Prices.,2019-02-01 13:23:49,2015-09-04,2019-01-31
BOM503622,S.v.trading & Agencies Ltd. EOD Prices,End of Day prices and additional trading information for S.v.trading & Agencies Ltd. EOD Prices.,,,
BOM503624,SVARAJ TRADING & AGENCIES LTD. EOD Prices,End of Day prices and additional trading information for SVARAJ TRADING & AGENCIES LTD. EOD Prices.,2019-02-01 13:23:49,2014-02-24,2019-01-31
BOM503626,Kshitiz Investment Ltd. EOD Prices,End of Day prices and additional trading information for Kshitiz Investment Ltd. EOD Prices.,2015-07-27 13:33:37,2014-10-08,2014-10-08
BOM503630,Shell Infotech Ltd. EOD Prices,End of Day prices and additional trading information for Shell Infotech Ltd. EOD Prices.,2015-11-12 11:56:32,1996-10-09,2007-02-27
BOM503635,SHREE SALASAR INVESTMENT LTD. EOD Prices,End of Day prices and additional trading information for SHREE SALASAR INVESTMENT LTD. EOD Prices.,2019-02-01 13:23:49,2011-08-19,2018-11-02
BOM503637,DHANLEELA INVESTMENTS & TRADING COMPANY LTD. EOD Prices,End of Day prices and additional trading information for DHANLEELA INVESTMENTS & TRADING COMPANY LTD. EOD Prices.,2019-02-01 13:23:49,1996-01-19,2019-01-31
